episode,step,episode_distraction_prob,x,y,dx,dy,dist_to_goal,dist_to_distractor,local_distractor,focus,speed,dir_change,fatigue
1,7,0.12647544208461892,8,8,-1,-1,1.4142135623730951,3.1622776601683795,0,0,1.4142135623730951,2.0,5
1,8,0.12647544208461892,9,9,1,1,0.0,1.4142135623730951,1,1,1.4142135623730951,4.0,5
1,9,0.12647544208461892,9,9,0,0,0.0,7.615773105863909,0,0,0.0,2.0,6
1,10,0.12647544208461892,9,9,0,0,0.0,10.816653826391969,0,0,0.0,0.0,7
1,11,0.12647544208461892,9,9,0,0,0.0,7.810249675906654,0,0,0.0,0.0,8
1,12,0.12647544208461892,9,9,0,0,0.0,4.242640687119285,0,0,0.0,0.0,9
1,13,0.12647544208461892,9,9,0,0,0.0,6.708203932499369,0,0,0.0,0.0,10
1,14,0.12647544208461892,9,8,0,-1,1.0,8.06225774829855,0,0,1.0,1.0,11
1,15,0.12647544208461892,9,9,0,1,0.0,8.06225774829855,0,1,1.0,2.0,11
1,16,0.12647544208461892,9,9,0,0,0.0,5.0990195135927845,0,0,0.0,1.0,12
1,17,0.12647544208461892,8,9,-1,1,1.0,7.211102550927978,0,0,1.4142135623730951,2.0,13
1,18,0.12647544208461892,9,9,1,0,0.0,3.1622776601683795,0,1,1.0,3.0,13
1,19,0.12647544208461892,9,9,0,1,0.0,3.1622776601683795,0,0,1.0,2.0,14
1,20,0.12647544208461892,9,9,0,0,0.0,12.727922061357855,0,0,0.0,1.0,15
1,21,0.12647544208461892,9,9,0,0,0.0,1.4142135623730951,1,0,0.0,0.0,16
1,22,0.12647544208461892,9,9,0,0,0.0,6.082762530298219,0,0,0.0,0.0,17
1,23,0.12647544208461892,9,8,1,-1,1.0,7.615773105863909,0,0,1.4142135623730951,2.0,18
1,24,0.12647544208461892,9,9,0,1,0.0,4.123105625617661,0,1,1.0,3.0,18
1,25,0.12647544208461892,9,9,0,0,0.0,5.0990195135927845,0,0,0.0,1.0,19
1,26,0.12647544208461892,9,9,0,0,0.0,11.40175425099138,0,0,0.0,0.0,20
